item_id,item_type,path_or_uri,version,sha256,creator_or_publisher,source_url,license_name,license_url,permitted_purpose,contains_patient_data,patient_ids_available,labels_available,platform_compatibility,provenance_evidence,review_owner,review_date,eligible_for_use,notes
oralsight-calibration-a4-v1,calibration_reference,assets/mouth/calibration/oralsight-calibration-a4.pdf,oralsight-calibration-v1,48de2473442af9b68cb1e6e965b332054576d452c3fc79edf8f2d50914f7e92f,OpenAI Codex-assisted output for OralSight,repository-local,CC0-1.0,https://creativecommons.org/publicdomain/zero/1.0/,printable A4 physical scale reference,no,no,"ArUco marker 17; 20 mm marker",PDF print at actual size,assets/mouth/calibration/README.md,OralSight engineering review,2026-08-04,yes,"Measurement estimates remain suppressed unless marker and same-plane gates pass"
oralsight-calibration-letter-v1,calibration_reference,assets/mouth/calibration/oralsight-calibration-letter.pdf,oralsight-calibration-v1,1d40839a8095667b2ce9b4ddb3dc72b5ae505b90f8e55e4143f4f524d0f80514,OpenAI Codex-assisted output for OralSight,repository-local,CC0-1.0,https://creativecommons.org/publicdomain/zero/1.0/,printable US Letter physical scale reference,no,no,"ArUco marker 17; 20 mm marker",PDF print at actual size,assets/mouth/calibration/README.md,OralSight engineering review,2026-08-04,yes,"Measurement estimates remain suppressed unless marker and same-plane gates pass"
oralsight-calibration-preview-v1,calibration_reference_preview,assets/mouth/calibration/oralsight-calibration-preview.png,oralsight-calibration-v1,a89f32d03e823f17a7e57f32d03e7188e0b5b4e3aef3b4ced96b6bbd3314d26e,OpenAI Codex-assisted output for OralSight,repository-local,CC0-1.0,https://creativecommons.org/publicdomain/zero/1.0/,calibration-card documentation preview,no,no,"ArUco marker 17; 20 mm marker",documentation preview only,assets/mouth/calibration/README.md,OralSight engineering review,2026-08-04,yes,"Not a printable scale source; use the PDF at actual size"
oralsight-web-calibration-a4-v1,calibration_reference,apps/web/public/calibration/oralsight-calibration-a4.pdf,oralsight-calibration-v1,48de2473442af9b68cb1e6e965b332054576d452c3fc79edf8f2d50914f7e92f,OpenAI Codex-assisted output for OralSight,repository-local,CC0-1.0,https://creativecommons.org/publicdomain/zero/1.0/,public web delivery of printable A4 physical scale reference,no,no,"ArUco marker 17; 20 mm marker",static web asset byte-identical to audited source,assets/mouth/calibration/oralsight-calibration-a4.pdf,OralSight engineering review,2026-08-08,yes,"Web delivery copy; measurement estimates remain suppressed unless marker and same-plane gates pass"
oralsight-web-calibration-letter-v1,calibration_reference,apps/web/public/calibration/oralsight-calibration-letter.pdf,oralsight-calibration-v1,1d40839a8095667b2ce9b4ddb3dc72b5ae505b90f8e55e4143f4f524d0f80514,OpenAI Codex-assisted output for OralSight,repository-local,CC0-1.0,https://creativecommons.org/publicdomain/zero/1.0/,public web delivery of printable US Letter physical scale reference,no,no,"ArUco marker 17; 20 mm marker",static web asset byte-identical to audited source,assets/mouth/calibration/oralsight-calibration-letter.pdf,OralSight engineering review,2026-08-08,yes,"Web delivery copy; measurement estimates remain suppressed unless marker and same-plane gates pass"
oralsight-web-calibration-preview-v1,calibration_reference_preview,apps/web/public/calibration/oralsight-calibration-preview.png,oralsight-calibration-v1,a89f32d03e823f17a7e57f32d03e7188e0b5b4e3aef3b4ced96b6bbd3314d26e,OpenAI Codex-assisted output for OralSight,repository-local,CC0-1.0,https://creativecommons.org/publicdomain/zero/1.0/,public web calibration-card preview,no,no,"ArUco marker 17; 20 mm marker",static web asset byte-identical to audited source,assets/mouth/calibration/oralsight-calibration-preview.png,OralSight engineering review,2026-08-08,yes,"Not a printable scale source; use the PDF at actual size"
smart-om-anatomy-release-v2,model_artifact,services/inference/release/anatomy.onnx,smart-om-mobilenetv3-2026.07.27,335cacfa5ceab8d32d6b903c65d482c246ac6ac2a7e7a831f6ede27d62a553a9,OralSight training pipeline using SMART-OM,https://doi.org/10.6084/m9.figshare.31341790.v1,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,non-diagnostic eight-region anatomy validation,no,no,canonical eight region identifiers,"OpenCV 4.x CPU runtime and held-out API smoke passed; Linux container and physical-device review pending",services/inference/release/locked-test-anatomy-evaluation.json and anatomy-engineering-review.md,OralSight engineering release review,2026-07-27,yes,"Patient-disjoint aggregate evaluation only; source medical images are not distributed; engineering release does not establish clinical validity"
smart-om-autooral-segmentation-release-v1,model_artifact,services/inference/release/segmentation.onnx,smart-om-autooral-unetplusplus-b4-2026.07.28,6e0d74557960001b60a181e1fd7444c21c50ca4a30175c8c4449b40298352ac5,OralSight training pipeline using SMART-OM and the Autooral training split,https://doi.org/10.6084/m9.figshare.31341790.v1,"SMART-OM CC BY 4.0; Autooral academic research only non-commercial",https://github.com/wurenkai/HF-UNet-and-Autooral-dataset#1-the-proposed-datasets-autooral-dataset,non-diagnostic candidate-region segmentation for an academic competition prototype,no,no,binary candidate masks,"OpenCV 4.x CPU runtime passed on Windows; Linux container and physical-device review pending",services/inference/release/locked-test-segmentation-evaluation.json and segmentation-engineering-review.md,OralSight engineering release review,2026-07-28,yes,"Exact frozen ONNX passed patient-disjoint aggregate Dice and boundary F1 gates; positive-image metrics remain lower; source medical images are not distributed; no clinical validity is claimed"
smart-om-segmentation-locked-evaluation-20260728,evaluation_evidence,docs/licenses-model-cards/SEGMENTATION_LOCKED_EVALUATION.json,2026-07-28,b64cf1c14534ce1e01ceca2ab3e34c1f41d902ecea9e61749f88697bb325cade,OralSight training pipeline using SMART-OM,https://doi.org/10.6084/m9.figshare.31341790.v1,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,aggregate release-gate documentation only,no,yes,aggregate segmentation metrics and split counts,platform-neutral JSON,patient-disjoint exact frozen evaluation output,OralSight engineering release review,2026-07-28,yes,"Documents a passed aggregate segmentation gate; source images and training weights are not included; positive-image scores and other limitations remain disclosed"
smart-om-only-segmentation-public-attempt-20260810,evaluation_evidence,docs/licenses-model-cards/SEGMENTATION_SMART_OM_ONLY_ATTEMPT.json,2026-08-10,78d372faa32011733b3ef30c0d08617b45b9e6439704b3bd6f6c927dbdb2e649,OralSight training pipeline using SMART-OM,https://doi.org/10.6084/m9.figshare.31341790.v1,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,failed clean-license replacement evaluation documentation only,no,yes,aggregate segmentation metrics and split counts,platform-neutral JSON,patient-disjoint exact frozen evaluation output,OralSight engineering release review,2026-08-10,yes,"Documents the failed untouched-test attempt to replace the Autooral-assisted release with a SMART-OM-only artifact; Dice 0.6809 and boundary F1 0.5616 were below the fixed gates; the failed weights are not bundled or released"
smart-om-disease-locked-evaluation-20260728,evaluation_evidence,docs/licenses-model-cards/DISEASE_RESEARCH_LOCKED_EVALUATION.json,2026-07-28,142a2428e1c4d2b7f02418ec42b18cbdd3ccfc955344e430313b633ffb1ee4b9,OralSight training pipeline using SMART-OM,https://doi.org/10.6084/m9.figshare.31341790.v1,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,aggregate research-gate documentation only,no,yes,aggregate disease-category metrics and split counts,platform-neutral JSON,patient-disjoint locked evaluation output,OralSight engineering release review,2026-07-28,yes,"Documents a failed disease-category research gate; no source image or model weight is included"
autooral-segmentation-training-supplement-2024,dataset_archive,controlled-local-only/Autooral_dataset.zip,Autooral-v1,b415fe2c7449e8a1ccf44e32c44b697f336e9a7e5e6d58d10c4e8a665dae8d9d,Nanjing Medical University and publication authors,https://github.com/wurenkai/HF-UNet-and-Autooral-dataset,"Author terms: academic research only; non-commercial",https://github.com/wurenkai/HF-UNet-and-Autooral-dataset#1-the-proposed-datasets-autooral-dataset,training-only oral-ulcer segmentation research,yes,yes,pixel masks and five ulcer classifications,"PyTorch training only; not bundled or redistributed",author repository terms plus Scientific Reports paper and audited archive hash,OralSight engineering release review,2026-07-28,yes,"Contains 420 image-mask pairs from patient-disjoint author splits; only the 377-image training split is eligible as an optional supplement; data and transformed images are excluded from source ZIP and app"
